0	1	2
/m/03mstc	/people/person/places_lived./people/place_lived/location	/m/05fjy
/m/03rl84	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/04ztj	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/m/04ykg
/m/02t__l	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/01zkxv	/people/person/place_of_birth	/m/04p3c
/m/02fgm7	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
		
		
		
		
/m/05dtwm	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
/m/0292l3	/people/person/religion	/m/03j6c
/m/042q3	/people/person/place_of_birth	/m/02z0j
/m/033tf_	/people/ethnicity/people	/m/04xrx
/m/033tf_	/people/ethnicity/people	/m/034g2b
/m/03bdm4	/people/person/places_lived./people/place_lived/location	/m/04jpl
		
		
/m/01wrcxr	/people/person/languages	/m/02h40lc
/m/040_9	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
/m/045cq	/people/deceased_person/place_of_death	/m/030qb3t
		
/m/04wx2v	/people/person/languages	/m/02h40lc
/m/03lmzl	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
/m/04ztj	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/m/02hgz
		
		
		
/m/01vsqvs	/people/person/place_of_birth	/m/01v8c
/m/02qdymm	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
/m/03m2fg	/people/person/spouse_s./people/marriage/location_of_ceremony	/m/02_286
/m/0343h	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/048cl	/people/person/nationality	/m/0345h
/m/02b9g4	/people/person/places_lived./people/place_lived/location	/m/030qb3t
		
/m/034ks	/people/person/nationality	/m/03rjj
		
		
		
/m/027d5g5	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/02r0st6	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
		
/m/04bsx1	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/01x0yrt	/people/person/languages	/m/02h40lc
/m/03zg2x	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
		
/m/01tt43d	/people/person/nationality	/m/03rjj
		
		
		
		
/m/033tf_	/people/ethnicity/people	/m/04xhwn
/m/032t2z	/people/deceased_person/place_of_death	/m/04jpl
/m/041rx	/people/ethnicity/people	/m/047hpm
/m/03lmx1	/people/ethnicity/people	/m/02tr7d
/m/0382m4	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/030h95	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/03m6t5	/people/person/places_lived./people/place_lived/location	/m/05ksh
/m/02rxbmt	/people/person/places_lived./people/place_lived/location	/m/056_y
		
/m/02778yp	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/0465_	/people/person/places_lived./people/place_lived/location	/m/03rjj
/m/02jxsq	/people/person/places_lived./people/place_lived/location	/m/04vmp
/m/02f_k_	/people/person/places_lived./people/place_lived/location	/m/05kkh
/m/03crcpt	/people/person/nationality	/m/02jx1
		
/m/048svj	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
/m/02p5hf	/people/person/languages	/m/02h40lc
/m/036gdw	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
		
/m/03mstc	/people/deceased_person/place_of_death	/m/0284jb
/m/02w7gg	/people/ethnicity/people	/m/02zq43
/m/02xb2bt	/people/person/nationality	/m/03rt9
/m/033tf_	/people/ethnicity/people	/m/02mjmr
/m/05kfs	/people/person/place_of_birth	/m/02_286
		
		
/m/0241wg	/people/person/languages	/m/03k50
		
		
/m/03n0q5	/people/person/spouse_s./people/marriage/type_of_union	/m/04ztj
