id,predicted_label,true_label,sensitive_label,score
/m/04shbh,/m/05bm4sm,/m/02hrh1q,/m/02jx1,-0.0445
/m/030pr,/m/03rgvr,/m/01d_h8,/m/03rjj,-0.0894
/m/040wdl,/m/029bkp,/m/02hrh1q,/m/03rk0,0.7565
/m/04yt7,/m/02hrh1q,/m/02hrh1q,/m/02jx1,0.6883
/m/0263tn1,/m/057d89,/m/02hrh1q,/m/02jx1,-0.0653
/m/03f22dp,/m/058z1hb,/m/02jknp,/m/03rk0,-0.103
/m/03bnv,/m/040wdl,/m/01b30l,/m/02jx1,-0.0659
/m/04jb97,/m/02hrh1q,/m/02hrh1q,/m/03h64,0.7503
/m/03bnv,/m/02hrh1q,/m/02hrh1q,/m/02jx1,0.7774
/m/04j0s3,/m/02krf9,/m/02krf9,/m/03rk0,0.7243
/m/02qnhk1,/m/02jknp,/m/02jknp,/m/03rk0,0.7253
/m/03k545,/m/03xb2w,/m/02hrh1q,/m/02jx1,-0.1173
/m/01v42g,/m/02hrh1q,/m/02hrh1q,/m/02jx1,0.7028
/m/03dctt,/m/02jknp,/m/02jknp,/m/03rk0,0.6498
/m/04shbh,/m/02hrh1q,/m/02hrh1q,/m/02jx1,0.764
/m/04bdlg,/m/02hrh1q,/m/02hrh1q,/m/03_3d,0.6949
/m/0415mzy,/m/047rgpy,/m/047rgpy,/m/04wgh,0.7318
/m/04y0yc,/m/02hrh1q,/m/02hrh1q,/m/03rk0,0.7533
/m/02c7lt,/m/02hrh1q,/m/02hrh1q,/m/02jx1,0.7501
/m/03hzkq,/m/04psyp,/m/02hv44_,/m/03rk0,-0.0949
/m/046rfv,/m/02hrh1q,/m/02hrh1q,/m/03rk0,0.7305
/m/042q3,/m/02hrh1q,/m/04gc2,/m/03b79,0.7782
/m/0265z9l,/m/02hrh1q,/m/02hrh1q,/m/03rk0,0.7328
/m/02xb2bt,/m/052p7,/m/02hrh1q,/m/02jx1,-0.0864
/m/01vtqml,/m/039v1,/m/039v1,/m/02jx1,0.7076
/m/03f0324,/m/04gc2,/m/04gc2,/m/012m_,0.722
/m/026rm_y,/m/02hrh1q,/m/02hrh1q,/m/0345h,0.7536
/m/01vtqml,/m/047cqr,/m/016z4k,/m/02jx1,-0.0673
/m/0263tn1,/m/02hrh1q,/m/02hrh1q,/m/02jx1,0.6154
/m/046rfv,/m/03xx3m,/m/02t8yb,/m/03rk0,-0.0735
