source,relation,target,true_label,score
/m/0gbwp,/people/person/gender,/m/05zppz,0.0,1.0
/m/03wjb7,/people/person/gender,/m/05zppz,1.0,1.0
/m/0cj2t3,/people/person/gender,/m/02zsn,1.0,1.0
/m/0c3ns,/people/person/gender,/m/02zsn,0.0,0.8044060468673706
/m/050z2,/people/person/gender,/m/05zppz,1.0,0.8218788623809814
/m/04kj2v,/people/person/gender,/m/05zppz,1.0,1.0
/m/067xw,/people/person/gender,/m/05zppz,1.0,1.0
/m/05myd2,/people/person/gender,/m/02zsn,0.0,0.8093416273593903
/m/0cw67g,/people/person/gender,/m/05zppz,1.0,1.0
/m/03xp8d5,/people/person/gender,/m/05zppz,1.0,1.0
/m/0bqch,/people/person/gender,/m/02zsn,0.0,1.0
/m/057bc6m,/people/person/gender,/m/05zppz,1.0,1.0
/m/0gthm,/people/person/gender,/m/02zsn,0.0,1.0
/m/03xb2w,/people/person/gender,/m/05zppz,1.0,0.8006846606731415
/m/06yj20,/people/person/gender,/m/05zppz,0.0,1.0
/m/09xvf7,/people/person/gender,/m/05zppz,1.0,0.8175516486167907
/m/04bs3j,/people/person/gender,/m/05zppz,0.0,1.0
/m/08jfkw,/people/person/gender,/m/02zsn,0.0,0.7756961345672607
/m/0f7hc,/people/person/gender,/m/02zsn,0.0,0.8149919629096984
/m/06j8wx,/people/person/gender,/m/05zppz,1.0,1.0
/m/0gbwp,/people/person/gender,/m/02zsn,1.0,0.8148589193820953
/m/0633p0,/people/person/gender,/m/02zsn,1.0,1.0
/m/03rwng,/people/person/gender,/m/02zsn,1.0,0.7947860777378082
/m/04pf4r,/people/person/gender,/m/02zsn,0.0,0.8323687553405762
/m/0b80__,/people/person/gender,/m/05zppz,1.0,0.7985340416431427
/m/08jbxf,/people/person/gender,/m/02zsn,0.0,1.0
/m/0cj2k3,/people/person/gender,/m/05zppz,1.0,0.7263677477836609
/m/0988cp,/people/person/gender,/m/02zsn,0.0,1.0
/m/05nzw6,/people/person/gender,/m/02zsn,0.0,0.7990688979625702
/m/048hf,/people/person/gender,/m/02zsn,0.0,0.8179171264171601
/m/0420y,/people/person/gender,/m/05zppz,1.0,0.8158874869346618
/m/0fx02,/people/person/gender,/m/05zppz,1.0,1.0
/m/03q5dr,/people/person/gender,/m/02zsn,1.0,0.8120757162570953
/m/0fhxv,/people/person/gender,/m/02zsn,0.0,1.0
/m/04r68,/people/person/gender,/m/02zsn,1.0,0.8081330597400666
/m/06yrj6,/people/person/gender,/m/05zppz,1.0,1.0
/m/049fgvm,/people/person/gender,/m/02zsn,0.0,0.8095110118389129
/m/05zdk2,/people/person/gender,/m/02zsn,1.0,1.0
/m/045g4l,/people/person/gender,/m/02zsn,0.0,1.0
/m/0f7hc,/people/person/gender,/m/05zppz,1.0,1.0
/m/0d608,/people/person/gender,/m/05zppz,1.0,0.7758499801158905
/m/05myd2,/people/person/gender,/m/05zppz,1.0,1.0
/m/0cbkc,/people/person/gender,/m/02zsn,1.0,0.8265254080295563
/m/06jrhz,/people/person/gender,/m/02zsn,0.0,1.0
/m/044mvs,/people/person/gender,/m/02zsn,0.0,1.0
/m/0c8hct,/people/person/gender,/m/05zppz,1.0,0.8127431035041809
/m/05jcn8,/people/person/gender,/m/05zppz,1.0,1.0
/m/074qgb,/people/person/gender,/m/02zsn,0.0,1.0
/m/09jrf,/people/person/gender,/m/05zppz,1.0,0.7915569305419922
/m/051z6rz,/people/person/gender,/m/02zsn,0.0,0.771166718006134
/m/06t61y,/people/person/gender,/m/05zppz,0.0,0.7922139108181
/m/060pl5,/people/person/gender,/m/02zsn,0.0,0.7865334451198578
/m/0bt4r4,/people/person/gender,/m/02zsn,0.0,1.0
/m/03qhyn8,/people/person/gender,/m/02zsn,0.0,0.8028121948242187
/m/0jf1b,/people/person/gender,/m/05zppz,1.0,0.8397994995117187
/m/04_jsg,/people/person/gender,/m/05zppz,1.0,1.0
/m/041_y,/people/person/gender,/m/05zppz,1.0,1.0
/m/043kzcr,/people/person/gender,/m/02zsn,1.0,0.7272783815860748
/m/06msq2,/people/person/gender,/m/05zppz,1.0,1.0
/m/03qncl3,/people/person/gender,/m/05zppz,1.0,0.7233796000480652
/m/0cc63l,/people/person/gender,/m/02zsn,0.0,1.0
/m/0c3kw,/people/person/gender,/m/05zppz,1.0,1.0
/m/06sy4c,/people/person/gender,/m/05zppz,1.0,0.7975179135799408
/m/078g3l,/people/person/gender,/m/05zppz,1.0,1.0
/m/087z12,/people/person/gender,/m/05zppz,1.0,0.7723194718360901
/m/045bs6,/people/person/gender,/m/05zppz,1.0,1.0
/m/0dszr0,/people/person/gender,/m/05zppz,0.0,1.0
/m/0f1vrl,/people/person/gender,/m/05zppz,1.0,1.0
/m/04cr6qv,/people/person/gender,/m/05zppz,1.0,1.0
/m/05b4rcb,/people/person/gender,/m/05zppz,1.0,0.7815208017826081
/m/09jd9,/people/person/gender,/m/05zppz,0.0,0.7957642853260041
/m/044qx,/people/person/gender,/m/05zppz,1.0,0.8229231595993042
/m/0bkf72,/people/person/gender,/m/05zppz,1.0,1.0
/m/0c921,/people/person/gender,/m/02zsn,0.0,1.0
/m/0b_dh,/people/person/gender,/m/05zppz,1.0,1.0
/m/03zqc1,/people/person/gender,/m/05zppz,0.0,0.7962862372398376
/m/051z6rz,/people/person/gender,/m/05zppz,1.0,1.0
/m/06b_0,/people/person/gender,/m/05zppz,1.0,0.8138562381267548
/m/03xb2w,/people/person/gender,/m/02zsn,0.0,1.0
/m/0835q,/people/person/gender,/m/05zppz,1.0,1.0
/m/06yj20,/people/person/gender,/m/02zsn,1.0,0.7959715783596039
/m/04wp63,/people/person/gender,/m/02zsn,0.0,0.77737095952034
/m/04dyqk,/people/person/gender,/m/02zsn,0.0,1.0
/m/0c3ns,/people/person/gender,/m/05zppz,1.0,1.0
/m/051wwp,/people/person/gender,/m/02zsn,0.0,0.811360877752304
/m/06jrhz,/people/person/gender,/m/05zppz,1.0,0.7909322321414948
/m/064nh4k,/people/person/gender,/m/02zsn,1.0,1.0
/m/04r7p,/people/person/gender,/m/02zsn,1.0,0.8073445856571198
/m/04kj2v,/people/person/gender,/m/02zsn,0.0,0.7864722490310669
/m/03q45x,/people/person/gender,/m/05zppz,0.0,1.0
/m/079dy,/people/person/gender,/m/02zsn,0.0,0.8310741722583771
/m/06151l,/people/person/gender,/m/02zsn,0.0,1.0
/m/051wwp,/people/person/gender,/m/05zppz,1.0,1.0
/m/06f5j,/people/person/gender,/m/05zppz,1.0,1.0
/m/05qsxy,/people/person/gender,/m/05zppz,1.0,0.8130719363689423
/m/0863x_,/people/person/gender,/m/02zsn,0.0,1.0
/m/03xk1_,/people/person/gender,/m/05zppz,1.0,1.0
/m/0466k4,/people/person/gender,/m/05zppz,1.0,1.0
/m/047jhq,/people/person/gender,/m/02zsn,1.0,1.0
/m/05m63c,/people/person/gender,/m/02zsn,1.0,1.0
/m/0gct_,/people/person/gender,/m/05zppz,1.0,0.8105382680892944
/m/0gyx4,/people/person/gender,/m/05zppz,1.0,0.8033615231513977
/m/03wjb7,/people/person/gender,/m/02zsn,0.0,0.7943304479122162
/m/058s57,/people/person/gender,/m/02zsn,1.0,0.8146336019039154
/m/0clvcx,/people/person/gender,/m/05zppz,0.0,0.7931888580322266
/m/06j8wx,/people/person/gender,/m/02zsn,0.0,0.811846911907196
/m/03z_g7,/people/person/gender,/m/05zppz,1.0,0.7999973475933075
/m/0bkg4,/people/person/gender,/m/05zppz,1.0,0.8120339930057525
/m/0c7xjb,/people/person/gender,/m/05zppz,0.0,0.7952808439731598
/m/06sn8m,/people/person/gender,/m/05zppz,1.0,1.0
/m/08b8vd,/people/person/gender,/m/05zppz,0.0,0.8053332567214966
/m/0f1vrl,/people/person/gender,/m/02zsn,0.0,0.8188535809516907
/m/07fvf1,/people/person/gender,/m/05zppz,1.0,0.7947773694992065
/m/07jmnh,/people/person/gender,/m/02zsn,0.0,0.8037312924861908
/m/0bkf72,/people/person/gender,/m/02zsn,0.0,0.7949681460857392
/m/0d02km,/people/person/gender,/m/05zppz,1.0,1.0
/m/06t8b,/people/person/gender,/m/02zsn,0.0,1.0
/m/0cbkc,/people/person/gender,/m/05zppz,0.0,1.0
/m/0dbc1s,/people/person/gender,/m/02zsn,0.0,1.0
/m/044mvs,/people/person/gender,/m/05zppz,1.0,0.811474186182022
/m/07qy0b,/people/person/gender,/m/05zppz,1.0,0.7892776966094971
/m/09qc1,/people/person/gender,/m/02zsn,0.0,1.0
/m/0bdt8,/people/person/gender,/m/05zppz,0.0,0.8289704859256745
/m/0cc63l,/people/person/gender,/m/05zppz,1.0,0.8109627485275268
/m/0bdt8,/people/person/gender,/m/02zsn,1.0,1.0
/m/040db,/people/person/gender,/m/02zsn,0.0,1.0
/m/06w38l,/people/person/gender,/m/05zppz,1.0,1.0
/m/08jfkw,/people/person/gender,/m/05zppz,1.0,1.0
/m/07h5d,/people/person/gender,/m/02zsn,0.0,1.0
/m/0k8y7,/people/person/gender,/m/05zppz,0.0,1.0
/m/05slvm,/people/person/gender,/m/02zsn,1.0,0.8090689420700073
/m/03xk1_,/people/person/gender,/m/02zsn,0.0,0.7919713735580445
/m/042fk,/people/person/gender,/m/02zsn,0.0,1.0
/m/048hf,/people/person/gender,/m/05zppz,1.0,1.0
/m/06b_0,/people/person/gender,/m/02zsn,0.0,1.0
/m/07s8r0,/people/person/gender,/m/05zppz,0.0,1.0
/m/0420y,/people/person/gender,/m/02zsn,0.0,1.0
/m/07lwsz,/people/person/gender,/m/05zppz,1.0,1.0
/m/0c7xjb,/people/person/gender,/m/02zsn,1.0,1.0
/m/042fk,/people/person/gender,/m/05zppz,1.0,0.8338618278503418
/m/0k57l,/people/person/gender,/m/05zppz,1.0,0.8310127437114716
/m/0835q,/people/person/gender,/m/02zsn,0.0,0.8146522104740143
/m/04kwbt,/people/person/gender,/m/05zppz,1.0,1.0
/m/05b49tt,/people/person/gender,/m/05zppz,1.0,0.767074066400528
/m/07s8r0,/people/person/gender,/m/02zsn,1.0,0.7887199282646179
/m/0fn5bx,/people/person/gender,/m/05zppz,0.0,0.7945729851722717
/m/0ck91,/people/person/gender,/m/05zppz,0.0,1.0
/m/0988cp,/people/person/gender,/m/05zppz,1.0,0.7903840065002441
/m/09cdxn,/people/person/gender,/m/05zppz,1.0,0.8266806066036224
/m/089kpp,/people/person/gender,/m/02zsn,0.0,0.7797924220561981
/m/057bc6m,/people/person/gender,/m/02zsn,0.0,0.7954762041568756
/m/05b49tt,/people/person/gender,/m/02zsn,0.0,1.0
/m/0cj2t3,/people/person/gender,/m/05zppz,0.0,0.8157821953296661
/m/040db,/people/person/gender,/m/05zppz,1.0,0.8165627479553222
/m/047jhq,/people/person/gender,/m/05zppz,0.0,0.8183581948280334
/m/03mz9r,/people/person/gender,/m/02zsn,0.0,0.785920250415802
/m/09gffmz,/people/person/gender,/m/02zsn,0.0,0.7936341881752014
/m/0bxy67,/people/person/gender,/m/05zppz,1.0,0.7808941185474396
/m/04fyhv,/people/person/gender,/m/02zsn,0.0,1.0
/m/0dky9n,/people/person/gender,/m/02zsn,0.0,0.7277158558368683
/m/0dszr0,/people/person/gender,/m/02zsn,1.0,0.8160388052463532
/m/044zvm,/people/person/gender,/m/02zsn,1.0,1.0
/m/041_y,/people/person/gender,/m/02zsn,0.0,0.8097657442092896
/m/03xp8d5,/people/person/gender,/m/02zsn,0.0,0.8146361172199249
/m/04bs3j,/people/person/gender,/m/02zsn,1.0,0.7941702127456665
/m/040_9,/people/person/gender,/m/02zsn,0.0,0.8188854813575744
/m/07qy0b,/people/person/gender,/m/02zsn,0.0,1.0
/m/09myny,/people/person/gender,/m/02zsn,0.0,1.0
/m/04cr6qv,/people/person/gender,/m/02zsn,0.0,0.8200621128082275
/m/05vzql,/people/person/gender,/m/05zppz,0.0,1.0
/m/07_m2,/people/person/gender,/m/02zsn,0.0,0.8322669208049774
/m/06sy4c,/people/person/gender,/m/02zsn,0.0,1.0
/m/0ccqd7,/people/person/gender,/m/05zppz,1.0,0.7259064435958862
/m/0bl60p,/people/person/gender,/m/05zppz,1.0,0.8003536701202393
/m/07h5d,/people/person/gender,/m/05zppz,1.0,0.8120591640472412
/m/09fqtq,/people/person/gender,/m/05zppz,1.0,1.0
/m/0gct_,/people/person/gender,/m/02zsn,0.0,1.0
/m/07cjqy,/people/person/gender,/m/05zppz,1.0,0.8209094882011414
/m/07h1tr,/people/person/gender,/m/02zsn,0.0,0.7583985447883606
/m/0bvzp,/people/person/gender,/m/02zsn,0.0,0.7787403404712677
/m/067xw,/people/person/gender,/m/02zsn,0.0,0.8080404996871948
/m/05p92jn,/people/person/gender,/m/02zsn,1.0,1.0
/m/067sqt,/people/person/gender,/m/02zsn,1.0,1.0
/m/0clvcx,/people/person/gender,/m/02zsn,1.0,1.0
/m/0cj2nl,/people/person/gender,/m/05zppz,1.0,0.7930672526359558
/m/05218gr,/people/person/gender,/m/02zsn,0.0,1.0
/m/07m69t,/people/person/gender,/m/05zppz,1.0,0.7242874801158905
/m/09fqd3,/people/person/gender,/m/05zppz,1.0,1.0
/m/0784v1,/people/person/gender,/m/02zsn,0.0,1.0
/m/07m69t,/people/person/gender,/m/02zsn,0.0,1.0
/m/05jcn8,/people/person/gender,/m/02zsn,0.0,0.8074344456195831
/m/0blt6,/people/person/gender,/m/05zppz,1.0,0.8246832847595215
/m/06t8b,/people/person/gender,/m/05zppz,1.0,0.8000214695930481
/m/04z_x4v,/people/person/gender,/m/02zsn,0.0,1.0
/m/07hbxm,/people/person/gender,/m/05zppz,0.0,1.0
/m/0fx02,/people/person/gender,/m/02zsn,0.0,0.8174075603485107
/m/04bdqk,/people/person/gender,/m/02zsn,1.0,0.8032914161682129
/m/063tn,/people/person/gender,/m/02zsn,0.0,0.8229908585548401
/m/08wq0g,/people/person/gender,/m/02zsn,0.0,0.7923716008663177
/m/0cj2w,/people/person/gender,/m/02zsn,0.0,1.0
/m/058s57,/people/person/gender,/m/05zppz,0.0,1.0
/m/07vfqj,/people/person/gender,/m/02zsn,0.0,1.0
/m/04_1nk,/people/person/gender,/m/02zsn,0.0,1.0
/m/06w38l,/people/person/gender,/m/02zsn,0.0,0.7969282329082489
/m/078mgh,/people/person/gender,/m/02zsn,0.0,0.7254284501075745
/m/03q3sy,/people/person/gender,/m/05zppz,1.0,1.0
/m/0534nr,/people/person/gender,/m/02zsn,0.0,1.0
/m/0cfywh,/people/person/gender,/m/05zppz,1.0,0.7817845582962036
/m/0drc1,/people/person/gender,/m/02zsn,0.0,1.0
/m/040_9,/people/person/gender,/m/05zppz,1.0,1.0
/m/06s27s,/people/person/gender,/m/05zppz,1.0,1.0
/m/05b4rcb,/people/person/gender,/m/02zsn,0.0,1.0
/m/09jrf,/people/person/gender,/m/02zsn,0.0,1.0
/m/03q43g,/people/person/gender,/m/02zsn,0.0,0.802754032611847
/m/05fg2,/people/person/gender,/m/05zppz,1.0,1.0
