source,relation,target,true_label,score
/m/0dky9n,/people/person/gender,/m/02zsn,0.0,-0.27584418654441833
/m/057bc6m,/people/person/gender,/m/02zsn,0.0,-0.21506808996200566
/m/0863x_,/people/person/gender,/m/02zsn,0.0,0.7819184720516205
/m/07hbxm,/people/person/gender,/m/02zsn,1.0,-0.18959845900535588
/m/0h1q6,/people/person/gender,/m/02zsn,0.0,0.8041162967681885
/m/0738b8,/people/person/gender,/m/02zsn,0.0,0.8199787139892578
/m/03xp8d5,/people/person/gender,/m/05zppz,1.0,0.820710563659668
/m/07vfqj,/people/person/gender,/m/02zsn,0.0,-0.2172940969467163
/m/0f7hc,/people/person/gender,/m/05zppz,1.0,0.8250321507453918
/m/06wvfq,/people/person/gender,/m/02zsn,1.0,-0.17468268275260923
/m/070c93,/people/person/gender,/m/05zppz,0.0,-0.21320735812187197
/m/04wp63,/people/person/gender,/m/05zppz,1.0,0.7641046226024628
/m/074qgb,/people/person/gender,/m/02zsn,0.0,-0.2590515077114105
/m/04_jsg,/people/person/gender,/m/02zsn,0.0,0.80264972448349
/m/06t61y,/people/person/gender,/m/02zsn,1.0,-0.2095220804214477
/m/07h5d,/people/person/gender,/m/05zppz,1.0,-0.19421873092651365
/m/07s8r0,/people/person/gender,/m/05zppz,0.0,-0.22141872644424443
/m/07fvf1,/people/person/gender,/m/05zppz,1.0,0.7944878339767456
/m/0clvcx,/people/person/gender,/m/05zppz,0.0,-0.22448047399520876
/m/0420y,/people/person/gender,/m/05zppz,1.0,-0.1972624957561493
/m/043hg,/people/person/gender,/m/02zsn,0.0,0.8085523128509522
/m/05m63c,/people/person/gender,/m/05zppz,0.0,0.8054998934268951
/m/0cj2k3,/people/person/gender,/m/02zsn,0.0,-0.27861079573631287
/m/05slvm,/people/person/gender,/m/02zsn,1.0,0.8120484530925751
/m/089kpp,/people/person/gender,/m/05zppz,1.0,-0.22000421285629268
/m/06wvfq,/people/person/gender,/m/05zppz,0.0,0.8278436303138733
/m/0534nr,/people/person/gender,/m/05zppz,1.0,0.7280844867229461
/m/06sn8m,/people/person/gender,/m/02zsn,0.0,0.7910065054893494
/m/078g3l,/people/person/gender,/m/02zsn,0.0,0.8036544263362885
/m/0d608,/people/person/gender,/m/02zsn,0.0,-0.23664738535881047
/m/051wwp,/people/person/gender,/m/05zppz,1.0,-0.19130285382270817
/m/07vfqj,/people/person/gender,/m/05zppz,1.0,0.7862574398517609
/m/04r7p,/people/person/gender,/m/05zppz,0.0,0.8073529541492462
/m/09jrf,/people/person/gender,/m/02zsn,0.0,-0.2095232486724854
/m/040nwr,/people/person/gender,/m/02zsn,1.0,-0.20043085813522343
/m/04kwbt,/people/person/gender,/m/05zppz,1.0,-0.27812168598175047
/m/0fx02,/people/person/gender,/m/05zppz,1.0,0.8253983199596405
/m/07qy0b,/people/person/gender,/m/05zppz,1.0,-0.22164979577064514
/m/03xb2w,/people/person/gender,/m/02zsn,0.0,-0.2199634432792663
/m/07_m2,/people/person/gender,/m/05zppz,1.0,-0.16250613927841184
/m/070c93,/people/person/gender,/m/02zsn,1.0,0.7869515061378479
/m/07lwsz,/people/person/gender,/m/02zsn,0.0,0.8062081575393677
/m/0fhxv,/people/person/gender,/m/05zppz,1.0,-0.20415658354759214
/m/0gyx4,/people/person/gender,/m/05zppz,1.0,-0.18866405487060545
/m/03qhyn8,/people/person/gender,/m/02zsn,0.0,-0.20303228497505188
/m/09jd9,/people/person/gender,/m/05zppz,0.0,0.7911100149154663
/m/0cj2nl,/people/person/gender,/m/05zppz,1.0,-0.20809654593467708
/m/0835q,/people/person/gender,/m/05zppz,1.0,-0.18655630946159363
/m/076psv,/people/person/gender,/m/02zsn,0.0,0.7613094508647918
/m/0b80__,/people/person/gender,/m/05zppz,1.0,-0.22384585738182072
/m/0d608,/people/person/gender,/m/05zppz,1.0,0.7846471190452575
/m/03wjb7,/people/person/gender,/m/05zppz,1.0,-0.2063903927803039
/m/05218gr,/people/person/gender,/m/05zppz,1.0,0.7250487804412842
/m/04w1j9,/people/person/gender,/m/05zppz,1.0,0.7851448297500611
/m/0gyx4,/people/person/gender,/m/02zsn,0.0,0.8114921629428864
/m/044mvs,/people/person/gender,/m/05zppz,1.0,0.8286204755306243
/m/0988cp,/people/person/gender,/m/05zppz,1.0,-0.22656102180480953
/m/078g3l,/people/person/gender,/m/05zppz,1.0,-0.19762151241302495
/m/0784v1,/people/person/gender,/m/05zppz,1.0,-0.2760424315929413
/m/03wjb7,/people/person/gender,/m/02zsn,0.0,0.7938370823860168
/m/063tn,/people/person/gender,/m/05zppz,1.0,0.8170389175415039
/m/06yrj6,/people/person/gender,/m/05zppz,1.0,0.7765543937683106
/m/03zqc1,/people/person/gender,/m/02zsn,1.0,0.7880384385585785
/m/069z_5,/people/person/gender,/m/02zsn,0.0,0.8244761109352112
/m/044zvm,/people/person/gender,/m/05zppz,0.0,0.7889094769954681
/m/062dn7,/people/person/gender,/m/05zppz,1.0,0.8251821160316467
/m/07cjqy,/people/person/gender,/m/05zppz,1.0,-0.19072479009628296
/m/05qsxy,/people/person/gender,/m/02zsn,0.0,-0.19818196892738338
/m/03rwng,/people/person/gender,/m/05zppz,0.0,-0.20213993787765505
/m/0fn5bx,/people/person/gender,/m/05zppz,0.0,0.8080543994903564
/m/06t61y,/people/person/gender,/m/05zppz,0.0,0.7925527513027191
/m/05fg2,/people/person/gender,/m/05zppz,1.0,0.7334107458591461
/m/0f1vrl,/people/person/gender,/m/02zsn,0.0,0.8224207162857056
/m/064nh4k,/people/person/gender,/m/05zppz,0.0,-0.26403507590293884
/m/067xw,/people/person/gender,/m/05zppz,1.0,0.8160987019538879
/m/0blt6,/people/person/gender,/m/02zsn,0.0,0.8285549998283386
/m/0h1q6,/people/person/gender,/m/05zppz,1.0,-0.21538915634155276
/m/043hg,/people/person/gender,/m/05zppz,1.0,-0.2033556222915649
/m/04y79_n,/people/person/gender,/m/05zppz,1.0,-0.274886018037796
/m/03xk1_,/people/person/gender,/m/02zsn,0.0,-0.20960228443145756
/m/06y9bd,/people/person/gender,/m/05zppz,0.0,0.7901192367076874
/m/0gbwp,/people/person/gender,/m/05zppz,0.0,0.8155526161193848
/m/0ck91,/people/person/gender,/m/02zsn,1.0,0.8115739703178406
/m/040_9,/people/person/gender,/m/02zsn,0.0,0.8121428251266479
/m/0clvcx,/people/person/gender,/m/02zsn,1.0,0.7915518879890442
/m/0g69lg,/people/person/gender,/m/05zppz,1.0,0.7635491847991943
/m/0gct_,/people/person/gender,/m/02zsn,0.0,-0.19711154103279116
/m/051z6rz,/people/person/gender,/m/02zsn,0.0,0.7679423093795776
/m/06yj20,/people/person/gender,/m/02zsn,1.0,-0.20605474710464478
/m/0443c,/people/person/gender,/m/05zppz,1.0,-0.19362156391143803
/m/09fqtq,/people/person/gender,/m/02zsn,0.0,0.8170600593090057
/m/0gthm,/people/person/gender,/m/02zsn,0.0,0.7882096707820893
/m/0k29f,/people/person/gender,/m/02zsn,0.0,-0.20981076955795286
/m/0bq4j6,/people/person/gender,/m/02zsn,0.0,0.7969912052154541
/m/04pf4r,/people/person/gender,/m/05zppz,1.0,0.8295249938964844
/m/04dyqk,/people/person/gender,/m/05zppz,1.0,-0.21899784803390498
/m/0c7xjb,/people/person/gender,/m/02zsn,1.0,0.7861282885074615
/m/0gl88b,/people/person/gender,/m/02zsn,1.0,0.7248787522315979
/m/07jmnh,/people/person/gender,/m/02zsn,0.0,-0.1973403334617615
/m/064nh4k,/people/person/gender,/m/02zsn,1.0,0.7375236749649048
/m/0bqch,/people/person/gender,/m/05zppz,1.0,-0.23173152804374697
/m/0k29f,/people/person/gender,/m/05zppz,1.0,0.8085154533386231
/m/05b49tt,/people/person/gender,/m/05zppz,1.0,0.7578683376312256
/m/087z12,/people/person/gender,/m/05zppz,1.0,0.7860644280910491
/m/03mz9r,/people/person/gender,/m/05zppz,1.0,0.7775360167026519
/m/048hf,/people/person/gender,/m/02zsn,0.0,0.8049547791481018
/m/0jf1b,/people/person/gender,/m/02zsn,0.0,-0.16576063036918642
