source,relation,target,true_label,score
/m/09xvf7,/people/person/profession,/m/099md,0.0,0.0
/m/063b4k,/people/person/profession,/m/0cbd2,1.0,0.0
/m/07rd7,/people/person/profession,/m/0fnpj,0.0,0.0
/m/0k4gf,/people/person/profession,/m/05vyk,1.0,0.0
/m/03v1xb,/people/person/profession,/m/0d8qb,1.0,1.0
/m/0854hr,/people/person/profession,/m/05z96,0.0,0.0
/m/0gz5hs,/people/person/profession,/m/0dxtg,1.0,0.0
/m/0dj5q,/people/person/profession,/m/0d2b38,0.0,0.0
/m/06rq2l,/people/person/profession,/m/0dxtg,1.0,1.0
/m/04y8r,/people/person/profession,/m/0dxtg,1.0,1.0
/m/04xfb,/people/person/profession,/m/0fj9f,1.0,1.0
/m/0cj2k3,/people/person/profession,/m/099md,0.0,0.0
/m/0948xk,/people/person/profession,/m/04gc2,1.0,1.0
/m/0htcn,/people/person/profession,/m/0dz3r,0.0,1.0
/m/0ff2k,/people/person/profession,/m/05vyk,0.0,0.0
/m/06fc0b,/people/person/profession,/m/09jwl,1.0,1.0
/m/04bpm6,/people/person/profession,/m/04f2zj,1.0,1.0
/m/0bksh,/people/person/profession,/m/0d1pc,1.0,0.0
/m/05whq_9,/people/person/profession,/m/089fss,0.0,0.0
/m/0jcx,/people/person/profession,/m/06q2q,1.0,1.0
/m/0djvzd,/people/person/profession,/m/0dgd_,0.0,0.0
/m/0693l,/people/person/profession,/m/0h9c,0.0,0.0
/m/0h0yt,/people/person/profession,/m/0dxtg,1.0,0.0
/m/07rd7,/people/person/profession,/m/0dxtg,1.0,1.0
/m/0d3k14,/people/person/profession,/m/089fss,0.0,1.0
/m/0f1vrl,/people/person/profession,/m/0dxtg,1.0,1.0
/m/04l19_,/people/person/profession,/m/0dxtg,1.0,0.0
/m/085q5,/people/person/profession,/m/0cbd2,1.0,0.0
/m/042kg,/people/person/profession,/m/0dxtg,0.0,0.0
/m/046_v,/people/person/profession,/m/0dxtg,1.0,0.0
/m/0jpdn,/people/person/profession,/m/089fss,0.0,1.0
/m/0b_c7,/people/person/profession,/m/0gl2ny2,0.0,0.0
/m/06b_0,/people/person/profession,/m/09jwl,0.0,0.0
/m/06b_0,/people/person/profession,/m/0dxtg,1.0,1.0
/m/08qvhv,/people/person/profession,/m/0dxtg,1.0,1.0
/m/059y0,/people/person/profession,/m/06q2q,1.0,1.0
/m/05lnk0,/people/person/profession,/m/0cbd2,1.0,1.0
/m/0ff2k,/people/person/profession,/m/0dxtg,1.0,1.0
/m/0465_,/people/person/profession,/m/05z96,1.0,0.0
/m/0dw3l,/people/person/profession,/m/0dz3r,1.0,0.0
/m/04n65n,/people/person/profession,/m/09jwl,1.0,1.0
/m/0byfz,/people/person/profession,/m/05vyk,0.0,1.0
/m/06myp,/people/person/profession,/m/0dgd_,0.0,1.0
/m/0h953,/people/person/profession,/m/09jwl,1.0,1.0
/m/0b7gxq,/people/person/profession,/m/0cbd2,1.0,1.0
/m/042fk,/people/person/profession,/m/05vyk,0.0,0.0
/m/04crrxr,/people/person/profession,/m/0cbd2,1.0,1.0
/m/09jd9,/people/person/profession,/m/0cbd2,1.0,0.0
/m/0456xp,/people/person/profession,/m/0fj9f,0.0,1.0
/m/09swkk,/people/person/profession,/m/0d2b38,0.0,0.0
/m/0c31_,/people/person/profession,/m/099md,0.0,1.0
/m/04s430,/people/person/profession,/m/09jwl,1.0,0.0
/m/0b7xl8,/people/person/profession,/m/04gc2,0.0,0.0
/m/03sww,/people/person/profession,/m/09jwl,1.0,1.0
/m/051wwp,/people/person/profession,/m/05sxg2,0.0,1.0
/m/0dj5q,/people/person/profession,/m/099md,1.0,1.0
/m/0fxky3,/people/person/profession,/m/0d8qb,0.0,0.0
/m/0j1yf,/people/person/profession,/m/0dz3r,1.0,0.0
/m/06jkm,/people/person/profession,/m/05vyk,0.0,1.0
/m/04j0s3,/people/person/profession,/m/05vyk,0.0,1.0
/m/0584j4n,/people/person/profession,/m/09jwl,0.0,1.0
/m/0bt4r4,/people/person/profession,/m/0h9c,0.0,0.0
/m/0f_y9,/people/person/profession,/m/0cbd2,1.0,1.0
/m/085pr,/people/person/profession,/m/05sxg2,0.0,1.0
/m/063_t,/people/person/profession,/m/0d8qb,0.0,1.0
/m/0948xk,/people/person/profession,/m/0dz3r,0.0,0.0
/m/0k1bs,/people/person/profession,/m/0h9c,0.0,0.0
/m/0htcn,/people/person/profession,/m/0dxtg,1.0,0.0
/m/06t8b,/people/person/profession,/m/0dgd_,1.0,0.0
/m/042kg,/people/person/profession,/m/0cbd2,1.0,1.0
/m/06101p,/people/person/profession,/m/0cbd2,1.0,0.0
/m/0k6yt1,/people/person/profession,/m/0d8qb,0.0,0.0
/m/0837ql,/people/person/profession,/m/0dz3r,1.0,0.0
/m/04b7xr,/people/person/profession,/m/09jwl,1.0,0.0
/m/046_v,/people/person/profession,/m/05vyk,0.0,1.0
/m/0b7gxq,/people/person/profession,/m/089fss,0.0,0.0
/m/06jrhz,/people/person/profession,/m/0gl2ny2,0.0,0.0
/m/063_t,/people/person/profession,/m/0dxtg,1.0,0.0
/m/0dw3l,/people/person/profession,/m/05t4q,0.0,1.0
/m/03vrp,/people/person/profession,/m/0d8qb,1.0,0.0
/m/0j0pf,/people/person/profession,/m/0h9c,1.0,0.0
/m/07m69t,/people/person/profession,/m/0gl2ny2,1.0,1.0
/m/0c921,/people/person/profession,/m/0h9c,0.0,0.0
/m/082xp,/people/person/profession,/m/099md,1.0,1.0
/m/08mhyd,/people/person/profession,/m/0dgd_,1.0,0.0
/m/09t4hh,/people/person/profession,/m/0dxtg,1.0,0.0
/m/0456xp,/people/person/profession,/m/0d1pc,1.0,0.0
/m/0ckcvk,/people/person/profession,/m/04s2z,0.0,0.0
/m/0c408_,/people/person/profession,/m/0dxtg,1.0,0.0
/m/053y4h,/people/person/profession,/m/0d1pc,0.0,1.0
/m/06jrhz,/people/person/profession,/m/0cbd2,1.0,1.0
/m/0854hr,/people/person/profession,/m/0dgd_,1.0,1.0
/m/03r1pr,/people/person/profession,/m/04f2zj,0.0,1.0
/m/04qsdh,/people/person/profession,/m/04gc2,0.0,1.0
/m/04s5_s,/people/person/profession,/m/09jwl,1.0,1.0
/m/04bpm6,/people/person/profession,/m/05z96,0.0,0.0
/m/04s5_s,/people/person/profession,/m/05z96,0.0,0.0
/m/0gp_x9,/people/person/profession,/m/0cbd2,0.0,0.0
/m/0565cz,/people/person/profession,/m/09jwl,1.0,1.0
/m/0c31_,/people/person/profession,/m/0dxtg,1.0,0.0
/m/082xp,/people/person/profession,/m/0h9c,0.0,0.0
/m/0k6yt1,/people/person/profession,/m/0dz3r,1.0,1.0
/m/09jd9,/people/person/profession,/m/089fss,0.0,1.0
/m/0jcx,/people/person/profession,/m/0fnpj,0.0,0.0
/m/04b19t,/people/person/profession,/m/089fss,0.0,0.0
/m/06hx2,/people/person/profession,/m/0cbd2,1.0,1.0
/m/06jvj7,/people/person/profession,/m/0dgd_,0.0,1.0
/m/09hd6f,/people/person/profession,/m/099md,0.0,1.0
/m/06hx2,/people/person/profession,/m/04s2z,0.0,0.0
/m/0488g9,/people/person/profession,/m/0fnpj,0.0,0.0
/m/04pz5c,/people/person/profession,/m/0dz3r,0.0,1.0
/m/087qxp,/people/person/profession,/m/0dxtg,1.0,1.0
/m/050z2,/people/person/profession,/m/09jwl,1.0,0.0
/m/0459z,/people/person/profession,/m/05vyk,1.0,1.0
/m/09swkk,/people/person/profession,/m/0dz3r,1.0,1.0
/m/04pz5c,/people/person/profession,/m/0dxtg,1.0,0.0
/m/061zc_,/people/person/profession,/m/0d2b38,0.0,0.0
/m/04xjp,/people/person/profession,/m/0cbd2,1.0,0.0
/m/05lnk0,/people/person/profession,/m/0fnpj,0.0,0.0
/m/061zc_,/people/person/profession,/m/0fj9f,1.0,1.0
/m/0584j4n,/people/person/profession,/m/089fss,1.0,0.0
/m/07qy0b,/people/person/profession,/m/09jwl,1.0,1.0
/m/085pr,/people/person/profession,/m/0cbd2,1.0,0.0
/m/076_74,/people/person/profession,/m/05sxg2,0.0,0.0
/m/0gry51,/people/person/profession,/m/0dxtg,1.0,1.0
/m/04n7njg,/people/person/profession,/m/0cbd2,0.0,1.0
/m/04d2yp,/people/person/profession,/m/0dgd_,0.0,1.0
/m/0k57l,/people/person/profession,/m/0dxtg,1.0,0.0
/m/053yx,/people/person/profession,/m/09jwl,1.0,1.0
/m/06bng,/people/person/profession,/m/0cbd2,1.0,1.0
/m/067sqt,/people/person/profession,/m/0fnpj,0.0,0.0
/m/05y5fw,/people/person/profession,/m/0d1pc,0.0,1.0
/m/06y0xx,/people/person/profession,/m/0dxtg,1.0,1.0
/m/083p7,/people/person/profession,/m/05sxg2,0.0,0.0
/m/063tn,/people/person/profession,/m/0cbd2,1.0,0.0
/m/04n7njg,/people/person/profession,/m/0d2b38,1.0,0.0
/m/03r1pr,/people/person/profession,/m/0cbd2,1.0,0.0
/m/0fpzt5,/people/person/profession,/m/05z96,1.0,1.0
/m/04y8r,/people/person/profession,/m/0d1pc,0.0,0.0
/m/085gk,/people/person/profession,/m/0dz3r,0.0,1.0
/m/0h1p,/people/person/profession,/m/0d1pc,0.0,1.0
/m/03yf4d,/people/person/profession,/m/04s2z,0.0,0.0
/m/05whq_9,/people/person/profession,/m/0dxtg,1.0,1.0
/m/08mhyd,/people/person/profession,/m/09jwl,0.0,1.0
/m/053j4w4,/people/person/profession,/m/089fss,1.0,1.0
/m/04xjp,/people/person/profession,/m/05t4q,0.0,1.0
/m/04cw0n4,/people/person/profession,/m/05sxg2,0.0,1.0
/m/05vk_d,/people/person/profession,/m/0d1pc,1.0,0.0
/m/06y0xx,/people/person/profession,/m/0h9c,0.0,0.0
/m/04mn81,/people/person/profession,/m/04f2zj,1.0,0.0
/m/05cgy8,/people/person/profession,/m/0cbd2,1.0,0.0
/m/03vrv9,/people/person/profession,/m/0dxtg,1.0,0.0
/m/04s430,/people/person/profession,/m/05vyk,0.0,1.0
/m/07qy0b,/people/person/profession,/m/04s2z,0.0,0.0
/m/0f_y9,/people/person/profession,/m/0dxtg,0.0,0.0
/m/08141d,/people/person/profession,/m/05sxg2,0.0,1.0
/m/05cgy8,/people/person/profession,/m/05t4q,0.0,1.0
/m/06jkm,/people/person/profession,/m/05z96,1.0,0.0
/m/0d0mbj,/people/person/profession,/m/09jwl,1.0,1.0
/m/059y0,/people/person/profession,/m/04f2zj,0.0,0.0
/m/07r4c,/people/person/profession,/m/0dxtg,1.0,1.0
/m/0465_,/people/person/profession,/m/0fnpj,0.0,1.0
/m/0459z,/people/person/profession,/m/04s2z,0.0,0.0
/m/07kb5,/people/person/profession,/m/05t4q,1.0,1.0
/m/0bt4r4,/people/person/profession,/m/0dxtg,1.0,1.0
/m/0f4vbz,/people/person/profession,/m/0cbd2,1.0,1.0
